Frequency,DutyCycle,Run,RPM
100.0,0.0,1.0,0.0
100.0,2.0,1.0,0.0
100.0,4.0,1.0,0.0
100.0,6.0,1.0,2.86
100.0,8.0,1.0,0.0
100.0,10.0,1.0,0.0
100.0,12.0,1.0,0.0
100.0,14.0,1.0,0.0
100.0,16.0,1.0,0.0
100.0,18.0,1.0,14.29
100.0,20.0,1.0,48.57
100.0,22.0,1.0,82.86
100.0,24.0,1.0,120.0
100.0,26.0,1.0,157.14
100.0,28.0,1.0,191.43
100.0,30.0,1.0,222.86
100.0,32.0,1.0,254.29
100.0,34.0,1.0,280.0
100.0,36.0,1.0,300.0
100.0,38.0,1.0,320.0
100.0,40.0,1.0,337.14
100.0,42.0,1.0,351.43
100.0,44.0,1.0,362.86
100.0,46.0,1.0,374.29
100.0,48.0,1.0,382.86
100.0,50.0,1.0,391.43
100.0,52.0,1.0,397.14
100.0,54.0,1.0,402.86
100.0,56.0,1.0,411.43
100.0,58.0,1.0,414.29
100.0,60.0,1.0,420.0
100.0,62.0,1.0,425.71
100.0,64.0,1.0,428.57
100.0,66.0,1.0,434.29
100.0,68.0,1.0,440.0
100.0,70.0,1.0,442.86
100.0,72.0,1.0,445.71
100.0,74.0,1.0,448.57
100.0,76.0,1.0,454.29
100.0,78.0,1.0,454.29
100.0,80.0,1.0,457.14
100.0,82.0,1.0,457.14
100.0,84.0,1.0,460.0
100.0,86.0,1.0,462.86
100.0,88.0,1.0,465.71
100.0,90.0,1.0,465.71
100.0,92.0,1.0,468.57
100.0,94.0,1.0,474.29
100.0,96.0,1.0,474.29
100.0,98.0,1.0,474.29
100.0,100.0,1.0,474.29
100.0,102.0,1.0,477.14
100.0,104.0,1.0,480.0
100.0,106.0,1.0,482.86
100.0,108.0,1.0,482.86
100.0,110.0,1.0,482.86
100.0,112.0,1.0,482.86
100.0,114.0,1.0,482.86
100.0,116.0,1.0,485.71
100.0,118.0,1.0,488.57
100.0,120.0,1.0,488.57
100.0,122.0,1.0,488.57
100.0,124.0,1.0,488.57
100.0,126.0,1.0,491.43
100.0,128.0,1.0,491.43
100.0,130.0,1.0,494.29
100.0,132.0,1.0,494.29
100.0,134.0,1.0,494.29
100.0,136.0,1.0,494.29
100.0,138.0,1.0,494.29
100.0,140.0,1.0,497.14
100.0,142.0,1.0,497.14
100.0,144.0,1.0,500.0
100.0,146.0,1.0,500.0
100.0,148.0,1.0,500.0
100.0,150.0,1.0,500.0
100.0,152.0,1.0,500.0
100.0,154.0,1.0,502.86
100.0,156.0,1.0,502.86
100.0,158.0,1.0,502.86
100.0,160.0,1.0,505.71
100.0,162.0,1.0,505.71
100.0,164.0,1.0,505.71
100.0,166.0,1.0,505.71
100.0,168.0,1.0,508.57
100.0,170.0,1.0,508.57
100.0,172.0,1.0,511.43
100.0,174.0,1.0,508.57
100.0,176.0,1.0,508.57
100.0,178.0,1.0,508.57
100.0,180.0,1.0,508.57
100.0,182.0,1.0,508.57
100.0,184.0,1.0,508.57
100.0,186.0,1.0,508.57
100.0,188.0,1.0,508.57
100.0,190.0,1.0,511.43
100.0,192.0,1.0,511.43
100.0,194.0,1.0,511.43
100.0,196.0,1.0,511.43
100.0,198.0,1.0,511.43
100.0,200.0,1.0,511.43
100.0,202.0,1.0,514.29
100.0,204.0,1.0,514.29
100.0,206.0,1.0,514.29
100.0,208.0,1.0,514.29
100.0,210.0,1.0,514.29
100.0,212.0,1.0,514.29
100.0,214.0,1.0,517.14
100.0,216.0,1.0,517.14
100.0,218.0,1.0,517.14
100.0,220.0,1.0,517.14
100.0,222.0,1.0,517.14
100.0,224.0,1.0,517.14
100.0,226.0,1.0,517.14
100.0,228.0,1.0,517.14
100.0,230.0,1.0,517.14
100.0,232.0,1.0,520.0
100.0,234.0,1.0,520.0
100.0,236.0,1.0,517.14
100.0,238.0,1.0,520.0
100.0,240.0,1.0,520.0
100.0,242.0,1.0,520.0
100.0,244.0,1.0,520.0
100.0,246.0,1.0,522.86
100.0,248.0,1.0,522.86
100.0,250.0,1.0,522.86
100.0,252.0,1.0,522.86
100.0,254.0,1.0,522.86
200.0,0.0,1.0,0.0
