Frequency,DutyCycle,Run,RPM
1000.0,0.0,1.0,0.0
1000.0,2.0,1.0,0.0
1000.0,4.0,1.0,0.0
1000.0,6.0,1.0,0.0
1000.0,8.0,1.0,0.0
1000.0,10.0,1.0,0.0
1000.0,12.0,1.0,0.0
1000.0,14.0,1.0,0.0
1000.0,16.0,1.0,0.0
1000.0,18.0,1.0,0.0
1000.0,20.0,1.0,0.0
1000.0,22.0,1.0,0.0
1000.0,24.0,1.0,0.0
1000.0,26.0,1.0,0.0
1000.0,28.0,1.0,0.0
1000.0,30.0,1.0,0.0
1000.0,32.0,1.0,0.0
1000.0,34.0,1.0,0.0
1000.0,36.0,1.0,20.0
1000.0,38.0,1.0,45.71
1000.0,40.0,1.0,74.29
1000.0,42.0,1.0,97.14
1000.0,44.0,1.0,122.86
1000.0,46.0,1.0,140.0
1000.0,48.0,1.0,160.0
1000.0,50.0,1.0,180.0
1000.0,52.0,1.0,200.0
1000.0,54.0,1.0,217.14
1000.0,56.0,1.0,231.43
1000.0,58.0,1.0,248.57
1000.0,60.0,1.0,260.0
1000.0,62.0,1.0,274.29
1000.0,64.0,1.0,288.57
1000.0,66.0,1.0,297.14
1000.0,68.0,1.0,308.57
1000.0,70.0,1.0,320.0
1000.0,72.0,1.0,328.57
1000.0,74.0,1.0,337.14
1000.0,76.0,1.0,345.71
1000.0,78.0,1.0,354.29
1000.0,80.0,1.0,362.86
1000.0,82.0,1.0,368.57
1000.0,84.0,1.0,377.14
1000.0,86.0,1.0,382.86
1000.0,88.0,1.0,385.71
1000.0,90.0,1.0,391.43
1000.0,92.0,1.0,400.0
1000.0,94.0,1.0,405.71
1000.0,96.0,1.0,408.57
1000.0,98.0,1.0,411.43
1000.0,100.0,1.0,417.14
1000.0,102.0,1.0,422.86
1000.0,104.0,1.0,425.71
1000.0,106.0,1.0,428.57
1000.0,108.0,1.0,431.43
1000.0,110.0,1.0,437.14
1000.0,112.0,1.0,440.0
1000.0,114.0,1.0,442.86
1000.0,116.0,1.0,445.71
1000.0,118.0,1.0,448.57
1000.0,120.0,1.0,448.57
1000.0,122.0,1.0,451.43
1000.0,124.0,1.0,457.14
1000.0,126.0,1.0,457.14
1000.0,128.0,1.0,460.0
1000.0,130.0,1.0,460.0
1000.0,132.0,1.0,462.86
1000.0,134.0,1.0,462.86
1000.0,136.0,1.0,465.71
1000.0,138.0,1.0,468.57
1000.0,140.0,1.0,468.57
1000.0,142.0,1.0,471.43
1000.0,144.0,1.0,474.29
1000.0,146.0,1.0,474.29
1000.0,148.0,1.0,477.14
1000.0,150.0,1.0,480.0
1000.0,152.0,1.0,482.86
1000.0,154.0,1.0,482.86
1000.0,156.0,1.0,482.86
1000.0,158.0,1.0,485.71
1000.0,160.0,1.0,485.71
1000.0,162.0,1.0,488.57
1000.0,164.0,1.0,488.57
1000.0,166.0,1.0,491.43
1000.0,168.0,1.0,491.43
1000.0,170.0,1.0,491.43
1000.0,172.0,1.0,494.29
1000.0,174.0,1.0,497.14
1000.0,176.0,1.0,500.0
1000.0,178.0,1.0,500.0
1000.0,180.0,1.0,500.0
